id,shop_id,tag_id
62df42a4c2e24b2ebefdc9e89acf4535,321445036ba5409e839f477f5ed95249,4202dd8da64d4ebea7577f0f2b2e991b
dc562e5dcf864d8bb56011bb541b7651,7f9986061b57419fbd21b374409d1f36,fc911a9f60b341b0a7e9984eb5386c28
59c8a0a2d4c54fc3badbaa82da1dc130,464c8ac49c374051bc989e9d911fd9fb,0cfac0b958a444e2ab4b24aea6a9a16b
f53a7606d2f14d2ca251294a12b751ca,0c91fa0e7acc4d48ab6f48d467698e16,10e0e321984842cb877941ff66f7f349
85872f9b184249b5906229e776c2ab63,ab220959d163442dbe14d3abcb5bda4e,1755abc76432452f9913d8f79fdfd72c
c9fb6c7b91964ab289679669a4767711,b42a771d33cb452383726f6c80b80a71,4202dd8da64d4ebea7577f0f2b2e991b
7d1776b6126a4000806b1e2a57213cd4,4b1e537affb241b0b90c63ec6d284aa8,1755abc76432452f9913d8f79fdfd72c
1baca756a1c640549f8576b3ef365fe3,2f3212d5b1f2413d83d18f566dff9760,805ea814c22f4750ad1ede82e9eaad83
179d74e189c840158fdb60441aa7824e,32dda04716aa496b90bf535e479a8f92,10e0e321984842cb877941ff66f7f349
d3b0a24c44b849dbb345230d14c29a40,2329910682d24273b94566d504c9d245,759c25b8417c44fea6b2012e17f247a7
14ab6b52d1cd45cda573ce39d1140676,296b4ea002f047ddad47b185cfee6bf2,67381b7dd2494c3bb7984175f3cb0843
248d58e0c9c0486dbb654897c229ad7b,c3b165d35dde474d8d44f1a5102c1a86,25fa3b3e10ff498c8387ab08942244ac
b7a199d63e2748308af98d0ab8fbca90,ed8fcebedaef411083036a6a1786f3b0,2e63fea55373480ca7421e246225fe36
eb9d6bc0de2c40f2b1bb85547cb08478,44b45c157bc14b16a19da8b197376589,b4a59f0e2e1342efa451237125bb331a
bb21a4fd7cba40cf81b2fb5b11d36881,686612c1f8cc45c5afd08e39ceeaf0fd,0cfac0b958a444e2ab4b24aea6a9a16b
a4ca5547cb4c457f8b9e28977ab8e19a,866ecacfada64d2594fc10efe467070d,cf53c4f9bf2749d787de21e4d3078077
b3295a86a111457380f865cc51ccfc1a,53b5f67bcb504ea386cfaa1420bedd30,759c25b8417c44fea6b2012e17f247a7
bce047c7df5d410fa59378661eee2828,0543ae018a194a55a36225eeb04f59f4,25fa3b3e10ff498c8387ab08942244ac
b4310687b5584050ac63508082d44526,815f2c281f9b44d4ab8c81b257b9b57c,146f3cc1b95e41fb9b7a1fc94544d961
0862c3307061492ea0f84f21ba9f50ed,541ce745a3804639b2a1a085075965bd,f92c55a2cbc84439babb003062282f92
